"Schlumberger N.V.","SLB",64.50,63.57,"61.40 - 63.95",87.84,61.40,67.31,68.66,19259629,N/A,N/A,6808880
"Scripps Networks Interactive, I","SNI",84.50,84.59,"84.29 - 84.73",88.45,62.73,85.33,77.27,571081,100,100,2363620
"Seagate Technology PLC - Ordina","STX",34.34,34.55,"34.41 - 35.28",50.96,30.60,33.27,38.26,8315324,600,100,5467550
"Sealed Air Corporation","SEE",44.16,44.33,"44.22 - 45.39",50.62,41.22,43.56,44.21,3190089,N/A,N/A,2419810
"Sempra Energy","SRE",114.09,113.97,"113.60 - 114.29",120.17,92.95,115.83,114.36,1235509,N/A,N/A,1050220
"Sherwin-Williams Company (The)","SHW",387.57,389.49,"387.35 - 390.60",390.60,239.48,361.75,344.37,529215,N/A,N/A,661817
"Signet Jewelers Limited","SIG",62.91,63.39,"63.39 - 66.12",101.46,46.09,65.49,61.70,2257175,N/A,N/A,1623030
"Simon Property Group, Inc.","SPG",165.52,165.51,"163.08 - 165.80",199.19,150.15,161.54,161.36,1300017,N/A,N/A,1511900
"Skyworks Solutions, Inc.","SWKS",103.32,104.47,"103.85 - 105.31",112.11,71.65,104.81,103.38,1821575,100,300,1565000
"SL Green Realty Corporation","SLG",98.66,99.15,"97.23 - 99.18",115.34,93.90,100.35,102.72,986351,N/A,N/A,832840
"Snap-On Incorporated","SNA",156.19,156.57,"155.63 - 160.78",181.73,140.83,149.49,156.33,2093171,N/A,N/A,699000
"Southern Company (The)","SO",52.00,51.90,"51.80 - 52.34",52.34,46.20,49.86,49.42,4122806,N/A,N/A,4575890
"Southwest Airlines Company","LUV",58.63,58.83,"58.81 - 59.54",64.39,36.91,55.94,57.31,4905769,N/A,N/A,5513390
"Southwestern Energy Company","SWN",5.46,5.42,"5.35 - 5.47",12.85,5.00,5.84,6.23,9399331,N/A,N/A,15623800
"Stanley Black & Decker, Inc.","SWK",157.16,158.07,"157.24 - 160.15",160.15,111.89,151.86,142.29,1071286,N/A,N/A,963226
"Staples, Inc.","SPLS",10.24,10.24,"10.24 - 10.26",10.26,7.24,10.21,9.58,9785997,N/A,N/A,12324100
"Starbucks Corporation","SBUX",55.40,55.31,"54.17 - 55.40",64.87,50.84,54.69,57.61,11741092,500,400,10202600
